teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_L2_20240201-190951_17,class_L2_20240201-190951_17,gx24-VKD2,L2,l2pe,5,L
tch_L7_20240119-113354_58,class_L7_20240119-113354_58,6PW3-mLHR,L7,l7pe,3,L
tch_H3_20240201-182440_93,class_H3_20240201-182440_93,4J6w-udCF,H3,h3pe,9,H
tch_H1_20240109-104910_71,class_H1_20240109-104910_71,Vxos-mbCg,H1,h1pe,7,H
tch_L1_20240130-184533_9,class_L1_20240130-184533_9,RxPh-dxTA,L1,l1pe,3,L
tch_L9_20240201-190951_67,class_L9_20240201-190951_67,74w2-Uqow,L9,l9pe,3,L
tch_L7_20240201-190951_41,class_L7_20240201-190951_41,4u2Q-7H32,L7,l7pe,3,L
tch_L2_20240131-174940_22,context_class_L2_20240131-174940_22,qQDy-2X4n,L2,l2pe,5,L
tch_L9_20240201-182440_67,class_L9_20240201-182440_67,7u3y-FsK6,L9,l9pe,3,L
tch_L7_20240131-171252_42,context_class_L7_20240131-171252_42,Vbap-2F94,L7,l7pe,3,L
tch_L9_20240117-195400_32,class_L9_20240117-195400_32,MPNB-r48x,L9,l9pe,3,L
tch_M2_20240130-184533_71,class_M2_20240130-184533_71,V9rA-2Bmv,M2,m2pe,11,M
tch_L2_20240201-190951_23,class_L2_20240201-190951_23,8j7o-yRg9,L2,l2pe,5,L
tch_L7_20240131-174940_42,context_class_L7_20240131-174940_42,2LNU-82wR,L7,l7pe,3,L
tch_L7_20240119-103128_87,class_L7_20240119-103128_87,DQxw-J9hr,L7,l7pe,3,L
tch_L9_20240117-195400_79,class_L9_20240117-195400_79,72Bp-G63y,L9,l9pe,3,L
tch_L7_20240119-113354_1,class_L7_20240119-113354_1,a4K8-haTu,L7,l7pe,3,L
tch_H3_20240130-184533_95,class_H3_20240130-184533_95,T7As-Zx4p,H3,h3pe,9,H
tch_L8_20240120-145701_33,class_L8_20240120-145701_33,wEfp-nX6g,L8,l8pe,4,L
tch_L8_20240120-145701_42,class_L8_20240120-145701_42,W8gV-FNrR,L8,l8pe,4,L
tch_L2_20240201-182440_25,class_L2_20240201-182440_25,MPvd-xN3C,L2,l2pe,5,L
tch_L7_20240130-184533_38,class_L7_20240130-184533_38,ZC6H-VXWd,L7,l7pe,3,L
tch_L2_20240130-202449_26,class_L2_20240130-202449_26,ociM-LVAU,L2,l2pe,5,L
tch_M2_20240201-190951_72,class_M2_20240201-190951_72,6ejL-Pwrh,M2,m2pe,11,M
tch_L7_20240131-174940_36,context_class_L7_20240131-174940_36,dn9Z-GvL2,L7,l7pe,3,L
tch_H1_20240130-184533_86,class_H1_20240130-184533_86,2jUN-6Dy7,H1,h1pe,7,H
tch_H3_20240201-182440_92,class_H3_20240201-182440_92,my6q-XgYB,H3,h3pe,9,H
tch_L2_20240130-202449_22,class_L2_20240130-202449_22,i6wD-92kX,L2,l2pe,5,L
tch_L1_20240130-184533_10,class_L1_20240130-184533_10,s4wB-aNDM,L1,l1pe,3,L
tch_M5_20240131-171252_81,context_class_M5_20240131-171252_81,kKb6-RH8X,M5,m5pe,4,M
tch_L7_20240119-103128_74,class_L7_20240119-103128_74,MNGr-8Ky3,L7,l7pe,3,L
tch_H2_20240201-182440_91,class_H2_20240201-182440_91,Jq62-r7zc,H2,h2pe,17,H
tch_H1_20240201-190951_86,class_H1_20240201-190951_86,XeKM-7u8k,H1,h1pe,7,H
tch_L7_20240119-103128_50,class_L7_20240119-103128_50,aiFf-Bxz3,L7,l7pe,3,L
tch_L8_20240118-160029_109,class_L8_20240118-160029_109,Lh8J-F9wk,L8,l8pe,4,L
tch_H1_20240105-161058_72,class_H1_20240105-161058_72,k6P3-E2En,H1,h1pe,7,H
tch_L9_20240131-174940_61,context_class_L9_20240131-174940_61,67xT-PtEj,L9,l9pe,3,L
tch_L2_20240105-183209_13,class_L2_20240105-183209_13,4r2V-rqBq,L2,l2pe,5,L
tch_L7_20240201-182440_45,class_L7_20240201-182440_45,KB37-8Adn,L7,l7pe,3,L
tch_H5_20240131-174940_98,context_class_H5_20240131-174940_98,TxMq-FZzc,H5,h5pe,7,H
tch_L9_20240117-195400_76,class_L9_20240117-195400_76,r8jQ-x3yC,L9,l9pe,3,L
tch_H5_20240131-174940_99,context_class_H5_20240131-174940_99,38HJ-bB47,H5,h5pe,7,H
tch_L2_20240201-190951_26,class_L2_20240201-190951_26,TdTj-WALp,L2,l2pe,5,L
tch_L7_20240201-182440_40,class_L7_20240201-182440_40,4dyg-6hFA,L7,l7pe,3,L
tch_H2_20240130-184533_90,class_H2_20240130-184533_90,LDni-LQmU,H2,h2pe,17,H
tch_L3_20240131-174940_33,context_class_L3_20240131-174940_33,cytx-kzcT,L3,l3pe,7,L
tch_L7_20240130-202449_41,class_L7_20240130-202449_41,gi9a-kft9,L7,l7pe,3,L
tch_L2_20240201-190951_22,class_L2_20240201-190951_22,vjUa-9WYi,L2,l2pe,5,L
tch_H2_20240131-174940_90,context_class_H2_20240131-174940_90,9ZjF-mPNi,H2,h2pe,17,H
tch_H3_20240201-190951_94,class_H3_20240201-190951_94,4Ai3-N6Bo,H3,h3pe,9,H
tch_L8_20240131-174940_53,context_class_L8_20240131-174940_53,d2Vc-9xvs,L8,l8pe,4,L
tch_L7_20240119-103128_58,class_L7_20240119-103128_58,KkiY-T6CA,L7,l7pe,3,L
tch_L8_20240118-160029_93,class_L8_20240118-160029_93,Bec8-68H9,L8,l8pe,4,L
tch_L1_20240131-174940_10,context_class_L1_20240131-174940_10,n2Rq-Hna4,L1,l1pe,3,L
tch_M5_20240130-202449_81,class_M5_20240130-202449_81,tubn-dPRv,M5,m5pe,4,M
tch_L7_20240131-174940_39,context_class_L7_20240131-174940_39,iQCi-g9ug,L7,l7pe,3,L
tch_L9_20240131-171252_62,context_class_L9_20240131-171252_62,U4Hk-nMH3,L9,l9pe,3,L
tch_L2_20240131-174940_27,context_class_L2_20240131-174940_27,yJ28-2eaq,L2,l2pe,5,L
tch_L9_20240117-195400_33,class_L9_20240117-195400_33,mPqx-paJc,L9,l9pe,3,L
tch_L8_20240130-184533_52,class_L8_20240130-184533_52,eLj3-42Le,L8,l8pe,4,L
tch_L7_20240131-171252_44,context_class_L7_20240131-171252_44,z9eM-g747,L7,l7pe,3,L
tch_L9_20240117-195400_42,class_L9_20240117-195400_42,Pbzg-Wybt,L9,l9pe,3,L
tch_L8_20240131-171252_49,context_class_L8_20240131-171252_49,ykVH-yAXG,L8,l8pe,4,L
tch_L1_20240131-174940_7,context_class_L1_20240131-174940_7,Kszj-TCB8,L1,l1pe,3,L
tch_L8_20240118-160029_117,class_L8_20240118-160029_117,BchY-9yUm,L8,l8pe,4,L
tch_L2_20240130-202449_20,class_L2_20240130-202449_20,P74B-NA7A,L2,l2pe,5,L
tch_M5_20240131-174940_83,context_class_M5_20240131-174940_83,u7Wo-WZ7d,M5,m5pe,4,M
tch_L8_20240120-145701_13,class_L8_20240120-145701_13,x6B6-w2ND,L8,l8pe,4,L
tch_L8_20240120-145701_79,class_L8_20240120-145701_79,ziQ9-jZP7,L8,l8pe,4,L
tch_L3_20240201-182440_30,class_L3_20240201-182440_30,6rT9-TC32,L3,l3pe,7,L
tch_H5_20240130-202449_98,class_H5_20240130-202449_98,Vus9-wu3W,H5,h5pe,7,H
tch_L1_20240201-182440_7,class_L1_20240201-182440_7,Z86r-P8rg,L1,l1pe,3,L
tch_L9_20240131-171252_66,context_class_L9_20240131-171252_66,TN3o-4dnX,L9,l9pe,3,L
tch_M5_20240201-182440_83,class_M5_20240201-182440_83,dJTs-Kg9E,M5,m5pe,4,M
tch_L8_20240120-145701_27,class_L8_20240120-145701_27,bGn3-U9iY,L8,l8pe,4,L
tch_L9_20240117-195400_49,class_L9_20240117-195400_49,jHbM-k7pz,L9,l9pe,3,L
tch_L7_20240119-113354_6,class_L7_20240119-113354_6,9frQ-yxpJ,L7,l7pe,3,L
tch_L7_20240131-171252_38,context_class_L7_20240131-171252_38,cKbx-uze8,L7,l7pe,3,L
tch_M1_20240201-182440_69,class_M1_20240201-182440_69,ijqV-pgLY,M1,m1pe,11,M
tch_L3_20240131-174940_30,context_class_L3_20240131-174940_30,46sd-TUvW,L3,l3pe,7,L
tch_M3_20240109-122144_61,class_M3_20240109-122144_61,GQmn-Z868,M3,m3pe,5,M
tch_L8_20240131-171252_52,context_class_L8_20240131-171252_52,MLxm-7Muh,L8,l8pe,4,L
tch_H5_20240201-182440_99,class_H5_20240201-182440_99,BGno-Puch,H5,h5pe,7,H
tch_L1_20240131-174940_9,context_class_L1_20240131-174940_9,F9ZR-dcyz,L1,l1pe,3,L
tch_L7_20240119-103128_42,class_L7_20240119-103128_42,hj8e-c2U8,L7,l7pe,3,L
tch_H6_20240131-171252_100,context_class_H6_20240131-171252_100,CuW9-4mpH,H6,h6pe,10,H
tch_L8_20240120-145701_14,class_L8_20240120-145701_14,8M9W-CKj9,L8,l8pe,4,L
tch_L7_20240131-174940_41,context_class_L7_20240131-174940_41,ex4s-uV2V,L7,l7pe,3,L
tch_L1_20240201-190951_14,class_L1_20240201-190951_14,6c8t-hg7F,L1,l1pe,3,L
tch_L7_20240201-182440_34,class_L7_20240201-182440_34,Hp9R-eJyW,L7,l7pe,3,L
tch_L7_20240119-103128_26,class_L7_20240119-103128_26,yJPB-X2og,L7,l7pe,3,L
tch_L1_20240130-202449_11,class_L1_20240130-202449_11,92m8-B8rU,L1,l1pe,3,L
tch_L7_20240131-171252_48,context_class_L7_20240131-171252_48,ZGng-UZC3,L7,l7pe,3,L
tch_L1_20240130-184533_13,class_L1_20240130-184533_13,c2ym-f34j,L1,l1pe,3,L
tch_H4_20231229-173128_89,class_H4_20231229-173128_89,WV9m-23Tb,H4,h4pe,10,H
tch_L8_20240120-145701_72,class_L8_20240120-145701_72,3ohU-D2r7,L8,l8pe,4,L
tch_L7_20240130-202449_42,class_L7_20240130-202449_42,7Bj6-9ZXx,L7,l7pe,3,L
tch_L7_20240119-113354_12,class_L7_20240119-113354_12,2v4k-dVxM,L7,l7pe,3,L
tch_L1_20240131-171252_10,context_class_L1_20240131-171252_10,Bbkb-zZ42,L1,l1pe,3,L
tch_M4_20240102-154640_68,class_M4_20240102-154640_68,G6go-zoGj,M4,m4pe,13,M
tch_M5_20240130-184533_81,class_M5_20240130-184533_81,7XoX-k3Yn,M5,m5pe,4,M
tch_M4_20240130-202449_80,class_M4_20240130-202449_80,sG62-ac73,M4,m4pe,13,M
tch_M3_20240201-190951_78,class_M3_20240201-190951_78,z4iV-y8B3,M3,m3pe,5,M
tch_L1_20240130-184533_1,class_L1_20240130-184533_1,3kzf-BNfc,L1,l1pe,3,L
tch_L7_20240201-190951_35,class_L7_20240201-190951_35,scZq-xR79,L7,l7pe,3,L
tch_H1_20240103-170558_74,class_H1_20240103-170558_74,4q4D-7s49,H1,h1pe,7,H
tch_L7_20240201-182440_36,class_L7_20240201-182440_36,6fuU-72gt,L7,l7pe,3,L
tch_L8_20240130-202449_57,class_L8_20240130-202449_57,hnF6-WRKx,L8,l8pe,4,L
tch_L1_20240201-190951_6,class_L1_20240201-190951_6,Q6Ht-YuQT,L1,l1pe,3,L
tch_L9_20240130-202449_64,class_L9_20240130-202449_64,TFUR-CLRA,L9,l9pe,3,L
tch_L8_20240120-145701_39,class_L8_20240120-145701_39,zbn2-xd9Q,L8,l8pe,4,L
tch_L3_20240130-184533_33,class_L3_20240130-184533_33,C98b-3M23,L3,l3pe,7,L
tch_L7_20240131-171252_36,context_class_L7_20240131-171252_36,wYz6-w4v2,L7,l7pe,3,L
tch_L1_20240105-151148_10,class_L1_20240105-151148_10,T8kV-yomj,L1,l1pe,3,L
tch_L1_20240131-171252_13,context_class_L1_20240131-171252_13,MQXi-w4BC,L1,l1pe,3,L
tch_L7_20240119-103128_49,class_L7_20240119-103128_49,Y9y3-wPFa,L7,l7pe,3,L
tch_H5_20240130-184533_98,class_H5_20240130-184533_98,mikm-o9ce,H5,h5pe,7,H
tch_L3_20240103-170558_23,class_L3_20240103-170558_23,CXb6-pjY4,L3,l3pe,7,L
tch_L9_20240131-171252_65,context_class_L9_20240131-171252_65,7hsg-ubdZ,L9,l9pe,3,L
tch_L2_20240105-161058_11,class_L2_20240105-161058_11,4f26-2dE7,L2,l2pe,5,L
tch_L2_20240105-183209_11,class_L2_20240105-183209_11,zCkG-7szL,L2,l2pe,5,L
tch_L8_20240120-145701_11,class_L8_20240120-145701_11,46uj-h96t,L8,l8pe,4,L
tch_M4_20240104-161036_69,class_M4_20240104-161036_69,837p-qEFf,M4,m4pe,13,M
tch_L1_20240201-190951_7,class_L1_20240201-190951_7,U6Wx-AUVq,L1,l1pe,3,L
tch_L9_20240130-202449_61,class_L9_20240130-202449_61,p739-Bx37,L9,l9pe,3,L
tch_M3_20240131-171252_74,context_class_M3_20240131-171252_74,Vj94-VHot,M3,m3pe,5,M
tch_L1_20240105-161058_9,class_L1_20240105-161058_9,w86A-Z2ps,L1,l1pe,3,L
tch_L1_20240131-174940_11,context_class_L1_20240131-174940_11,J6rB-e7NF,L1,l1pe,3,L
tch_L8_20240201-190951_56,class_L8_20240201-190951_56,86yh-2Ht6,L8,l8pe,4,L
tch_M2_20240103-170558_56,class_M2_20240103-170558_56,sfA3-Gx4i,M2,m2pe,11,M
tch_H1_20240105-151148_71,class_H1_20240105-151148_71,c3C8-6sPt,H1,h1pe,7,H
tch_L8_20240130-184533_58,class_L8_20240130-184533_58,XUE3-mtsF,L8,l8pe,4,L
tch_M5_20240111-185155_60,class_M5_20240111-185155_60,ThG7-Mnbk,M5,m5pe,4,M
tch_H6_20240201-190951_100,class_H6_20240201-190951_100,hQHq-o2LD,H6,h6pe,10,H
tch_M3_20240201-190951_76,class_M3_20240201-190951_76,6PZ6-34DF,M3,m3pe,5,M
tch_L7_20240119-103128_35,class_L7_20240119-103128_35,64Q2-AaiQ,L7,l7pe,3,L
tch_L3_20240201-182440_29,class_L3_20240201-182440_29,T6HR-4X2B,L3,l3pe,7,L
tch_L1_20240131-171252_7,context_class_L1_20240131-171252_7,tY7G-Vsyu,L1,l1pe,3,L
tch_L7_20240119-103128_108,class_L7_20240119-103128_108,cfpT-fb3q,L7,l7pe,3,L
tch_L7_20240119-103128_19,class_L7_20240119-103128_19,aqcB-8oHo,L7,l7pe,3,L
tch_L9_20240117-181958_110,class_L9_20240117-181958_110,n86x-brUe,L9,l9pe,3,L
tch_L8_20240201-190951_55,class_L8_20240201-190951_55,T9WE-r92D,L8,l8pe,4,L
tch_L8_20240130-184533_51,class_L8_20240130-184533_51,apZf-tZ4J,L8,l8pe,4,L
tch_L8_20240130-202449_56,class_L8_20240130-202449_56,CXQ3-cw6D,L8,l8pe,4,L
tch_L1_20240201-182440_14,class_L1_20240201-182440_14,x2gY-wyWt,L1,l1pe,3,L
tch_L2_20240201-182440_22,class_L2_20240201-182440_22,UATu-6b2v,L2,l2pe,5,L
tch_L1_20240131-171252_4,context_class_L1_20240131-171252_4,9QEZ-NDxG,L1,l1pe,3,L
tch_L2_20240131-171252_24,context_class_L2_20240131-171252_24,Y98H-B8yH,L2,l2pe,5,L
tch_L7_20240119-103128_68,class_L7_20240119-103128_68,bD28-Jj96,L7,l7pe,3,L
tch_L1_20240130-202449_15,class_L1_20240130-202449_15,3hy8-Qbe3,L1,l1pe,3,L
tch_L9_20240201-190951_61,class_L9_20240201-190951_61,J4R6-G8Y3,L9,l9pe,3,L
tch_L8_20240201-182440_54,class_L8_20240201-182440_54,6Ftm-79TZ,L8,l8pe,4,L
tch_L1_20240130-184533_6,class_L1_20240130-184533_6,ynQp-Wkbt,L1,l1pe,3,L
tch_L8_20240118-160029_96,class_L8_20240118-160029_96,GT7Q-ZGLB,L8,l8pe,4,L
tch_L7_20240119-113354_46,class_L7_20240119-113354_46,vY6f-Y8NQ,L7,l7pe,3,L
tch_L7_20240201-190951_45,class_L7_20240201-190951_45,RiKt-7hKR,L7,l7pe,3,L
tch_L2_20240201-190951_20,class_L2_20240201-190951_20,R8KB-x8jM,L2,l2pe,5,L
tch_L9_20240117-195400_57,class_L9_20240117-195400_57,Reys-YMfr,L9,l9pe,3,L
tch_L2_20240105-173130_17,class_L2_20240105-173130_17,8H6k-2v8k,L2,l2pe,5,L
tch_L1_20240131-171252_5,context_class_L1_20240131-171252_5,iYT3-2NXL,L1,l1pe,3,L
tch_L7_20240119-113354_48,class_L7_20240119-113354_48,wsPF-ZXqg,L7,l7pe,3,L
tch_H2_20240201-190951_90,class_H2_20240201-190951_90,mB9h-sjgA,H2,h2pe,17,H
tch_M3_20240109-151917_61,class_M3_20240109-151917_61,678F-mVQF,M3,m3pe,5,M
tch_L2_20240130-202449_24,class_L2_20240130-202449_24,C6KP-BXA7,L2,l2pe,5,L
tch_L2_20240131-174940_26,context_class_L2_20240131-174940_26,z69F-a2mb,L2,l2pe,5,L
tch_L7_20240119-103128_21,class_L7_20240119-103128_21,JY7M-kf6a,L7,l7pe,3,L
tch_L7_20240119-103128_75,class_L7_20240119-103128_75,zrbd-3cQg,L7,l7pe,3,L
tch_L9_20240117-181958_117,class_L9_20240117-181958_117,MF79-3r87,L9,l9pe,3,L
tch_L7_20240131-174940_46,context_class_L7_20240131-174940_46,6868-Qp9u,L7,l7pe,3,L
tch_L9_20240131-174940_68,context_class_L9_20240131-174940_68,x2Tv-uv4m,L9,l9pe,3,L
tch_H1_20240201-182440_86,class_H1_20240201-182440_86,uxMT-y4Bb,H1,h1pe,7,H
tch_L1_20240105-151148_2,class_L1_20240105-151148_2,y9sJ-QwpQ,L1,l1pe,3,L
tch_M3_20240130-184533_77,class_M3_20240130-184533_77,o93a-J6p6,M3,m3pe,5,M
tch_L9_20240131-171252_67,context_class_L9_20240131-171252_67,AMzF-X7UZ,L9,l9pe,3,L
tch_L7_20240130-184533_42,class_L7_20240130-184533_42,y673-4T2j,L7,l7pe,3,L
tch_M3_20240106-201002_62,class_M3_20240106-201002_62,Kyvd-Dmv4,M3,m3pe,5,M
tch_H1_20240201-190951_88,class_H1_20240201-190951_88,cabU-LFq3,H1,h1pe,7,H
tch_L8_20240131-174940_55,context_class_L8_20240131-174940_55,om3Y-MbJv,L8,l8pe,4,L
tch_L9_20240130-202449_67,class_L9_20240130-202449_67,sCf2-KBd7,L9,l9pe,3,L
tch_L2_20240130-202449_27,class_L2_20240130-202449_27,MH38-7fut,L2,l2pe,5,L
tch_L3_20240104-161036_26,class_L3_20240104-161036_26,KT8N-M89Y,L3,l3pe,7,L
tch_H4_20240201-190951_97,class_H4_20240201-190951_97,fx2j-6Jhd,H4,h4pe,10,H
tch_L2_20240131-174940_23,context_class_L2_20240131-174940_23,67tC-jPmZ,L2,l2pe,5,L
tch_M3_20240105-151148_62,class_M3_20240105-151148_62,Udu7-jQ6x,M3,m3pe,5,M
tch_L2_20240105-161058_18,class_L2_20240105-161058_18,dPnW-HYnF,L2,l2pe,5,L
tch_L3_20240103-170558_25,class_L3_20240103-170558_25,XdJw-DafV,L3,l3pe,7,L
tch_L2_20240131-174940_19,context_class_L2_20240131-174940_19,BNMx-6D7o,L2,l2pe,5,L
tch_L1_20240130-202449_4,class_L1_20240130-202449_4,o3pP-tdD4,L1,l1pe,3,L
tch_L9_20240117-195400_41,class_L9_20240117-195400_41,Vjes-ZsV2,L9,l9pe,3,L
tch_L7_20240119-103128_29,class_L7_20240119-103128_29,YbX6-oVyh,L7,l7pe,3,L
tch_M5_20240111-185155_28,class_M5_20240111-185155_28,PqXZ-PaEC,M5,m5pe,4,M
tch_M5_20240201-190951_83,class_M5_20240201-190951_83,4C6h-68MN,M5,m5pe,4,M
tch_L2_20240201-182440_16,class_L2_20240201-182440_16,MrtK-cGp3,L2,l2pe,5,L
tch_H3_20240130-184533_93,class_H3_20240130-184533_93,J6am-69rB,H3,h3pe,9,H
tch_H3_20240131-171252_93,context_class_H3_20240131-171252_93,ZL6N-W8s6,H3,h3pe,9,H
tch_L1_20240105-173130_2,class_L1_20240105-173130_2,6N7w-KV9K,L1,l1pe,3,L
tch_L9_20240117-195400_6,class_L9_20240117-195400_6,EGkX-6dDL,L9,l9pe,3,L
tch_L3_20240130-202449_32,class_L3_20240130-202449_32,kF84-PsK2,L3,l3pe,7,L
tch_L3_20240103-170558_27,class_L3_20240103-170558_27,V2ML-JPRq,L3,l3pe,7,L
tch_L1_20240105-173130_8,class_L1_20240105-173130_8,2j23-9Df3,L1,l1pe,3,L
tch_M3_20240123-135053_22,class_M3_20240123-135053_22,X8uw-4vtn,M3,m3pe,5,M
tch_L7_20240130-202449_40,class_L7_20240130-202449_40,9bAU-Cmr4,L7,l7pe,3,L
tch_L3_20240105-151148_29,class_L3_20240105-151148_29,6h87-uXF4,L3,l3pe,7,L
tch_L8_20240120-145701_71,class_L8_20240120-145701_71,Tm84-HXF2,L8,l8pe,4,L
tch_L1_20240130-184533_12,class_L1_20240130-184533_12,48Hc-kFNC,L1,l1pe,3,L
tch_M5_20240130-202449_83,class_M5_20240130-202449_83,wx2s-V2bL,M5,m5pe,4,M
tch_L9_20240117-195400_59,class_L9_20240117-195400_59,8VPa-hkdG,L9,l9pe,3,L
tch_L1_20240201-190951_2,class_L1_20240201-190951_2,h234-zw4f,L1,l1pe,3,L
tch_L8_20240130-202449_53,class_L8_20240130-202449_53,LdQR-w4K6,L8,l8pe,4,L
tch_L8_20240118-160029_103,class_L8_20240118-160029_103,Drd2-WK3y,L8,l8pe,4,L
tch_L7_20240119-103128_107,class_L7_20240119-103128_107,Z2ph-Zs8F,L7,l7pe,3,L
tch_L9_20240131-171252_60,context_class_L9_20240131-171252_60,8F6i-mon6,L9,l9pe,3,L
tch_L8_20240131-174940_50,context_class_L8_20240131-174940_50,78Wj-Krs3,L8,l8pe,4,L
tch_H6_20240131-174940_100,context_class_H6_20240131-174940_100,9ADc-qJMT,H6,h6pe,10,H
tch_H3_20240131-171252_95,context_class_H3_20240131-171252_95,Ubub-o7z9,H3,h3pe,9,H
tch_L7_20240130-202449_37,class_L7_20240130-202449_37,Hkg3-WPVZ,L7,l7pe,3,L
tch_L9_20240201-190951_65,class_L9_20240201-190951_65,vPtp-o8H3,L9,l9pe,3,L
tch_H2_20240130-184533_91,class_H2_20240130-184533_91,NABF-2vka,H2,h2pe,17,H
tch_H1_20240131-171252_88,context_class_H1_20240131-171252_88,xypC-2jzc,H1,h1pe,7,H
tch_L8_20240118-160029_95,class_L8_20240118-160029_95,N89W-Fhtb,L8,l8pe,4,L
tch_L9_20240201-190951_63,class_L9_20240201-190951_63,y2rF-MytB,L9,l9pe,3,L
tch_L9_20240130-184533_60,class_L9_20240130-184533_60,GfjV-MJ2s,L9,l9pe,3,L
tch_L2_20240131-171252_28,context_class_L2_20240131-171252_28,DA4x-2zgL,L2,l2pe,5,L
tch_L7_20240119-103128_61,class_L7_20240119-103128_61,xwUT-2wz2,L7,l7pe,3,L
tch_L8_20240201-190951_51,class_L8_20240201-190951_51,JuD2-Qvxr,L8,l8pe,4,L
tch_L8_20240201-182440_55,class_L8_20240201-182440_55,jkqg-4RJK,L8,l8pe,4,L
tch_M2_20240104-161036_60,class_M2_20240104-161036_60,Dijx-U3Tr,M2,m2pe,11,M
tch_L9_20240201-182440_64,class_L9_20240201-182440_64,7APV-y24q,L9,l9pe,3,L
tch_L1_20240131-171252_11,context_class_L1_20240131-171252_11,7g3H-i8Uz,L1,l1pe,3,L
tch_L1_20240105-183209_1,class_L1_20240105-183209_1,A8Mw-gefT,L1,l1pe,3,L
tch_L3_20240103-170558_21,class_L3_20240103-170558_21,F6ws-uk3i,L3,l3pe,7,L
tch_L9_20240117-195400_75,class_L9_20240117-195400_75,QUAd-LH9k,L9,l9pe,3,L
tch_L1_20240201-182440_2,class_L1_20240201-182440_2,7H8K-dZ3G,L1,l1pe,3,L
tch_L3_20240131-174940_31,context_class_L3_20240131-174940_31,4W9e-oxzX,L3,l3pe,7,L
tch_M3_20240131-171252_77,context_class_M3_20240131-171252_77,cu6g-KbAD,M3,m3pe,5,M
tch_M2_20240201-190951_73,class_M2_20240201-190951_73,tf2b-xcdt,M2,m2pe,11,M
tch_M5_20240111-185155_40,class_M5_20240111-185155_40,9io7-oWd6,M5,m5pe,4,M
tch_L1_20240130-184533_8,class_L1_20240130-184533_8,Bhyd-Ff7z,L1,l1pe,3,L
tch_L1_20240105-161058_10,class_L1_20240105-161058_10,3iNv-6Qfj,L1,l1pe,3,L
tch_M1_20240131-174940_69,context_class_M1_20240131-174940_69,B6Lt-QdBZ,M1,m1pe,11,M
tch_H3_20240131-174940_94,context_class_H3_20240131-174940_94,Td6v-HXjV,H3,h3pe,9,H
tch_M5_20240123-113943_32,class_M5_20240123-113943_32,AjDL-2rx8,M5,m5pe,4,M
tch_M5_20240111-185155_45,class_M5_20240111-185155_45,pnj4-9ERq,M5,m5pe,4,M
tch_M4_20240201-182440_80,class_M4_20240201-182440_80,B4fL-HX4B,M4,m4pe,13,M
tch_M5_20240111-185155_29,class_M5_20240111-185155_29,gr9b-d9EK,M5,m5pe,4,M
tch_M3_20240105-183209_64,class_M3_20240105-183209_64,Aq9T-2Z23,M3,m3pe,5,M
tch_L9_20240131-174940_63,context_class_L9_20240131-174940_63,rWa3-Q7qm,L9,l9pe,3,L
tch_H1_20240131-171252_89,context_class_H1_20240131-171252_89,wzg2-oKYj,H1,h1pe,7,H
tch_L2_20240201-182440_26,class_L2_20240201-182440_26,3oH7-diHu,L2,l2pe,5,L
tch_L8_20240201-190951_57,class_L8_20240201-190951_57,k738-awvJ,L8,l8pe,4,L
tch_L7_20240130-184533_47,class_L7_20240130-184533_47,yhUp-83d9,L7,l7pe,3,L
tch_L9_20240130-202449_65,class_L9_20240130-202449_65,jCiq-M6hJ,L9,l9pe,3,L
tch_L8_20240120-145701_74,class_L8_20240120-145701_74,G3r8-pbxU,L8,l8pe,4,L
tch_L9_20240131-174940_59,context_class_L9_20240131-174940_59,MbvC-V4bh,L9,l9pe,3,L
tch_M3_20240130-202449_77,class_M3_20240130-202449_77,mH3p-LNe3,M3,m3pe,5,M
tch_L7_20240201-182440_47,class_L7_20240201-182440_47,84W9-u8J6,L7,l7pe,3,L
tch_M5_20240111-185155_50,class_M5_20240111-185155_50,H8Nu-btQR,M5,m5pe,4,M
tch_L8_20240131-174940_57,context_class_L8_20240131-174940_57,aCyi-fZ6p,L8,l8pe,4,L
tch_L7_20240201-190951_36,class_L7_20240201-190951_36,Eg6N-R743,L7,l7pe,3,L
tch_L3_20240201-182440_33,class_L3_20240201-182440_33,9UeW-7c48,L3,l3pe,7,L
tch_L7_20240130-184533_44,class_L7_20240130-184533_44,nZ3k-4cst,L7,l7pe,3,L
tch_H6_20240130-202449_100,class_H6_20240130-202449_100,G343-G6ER,H6,h6pe,10,H
tch_H3_20240131-174940_92,context_class_H3_20240131-174940_92,uaiT-24t4,H3,h3pe,9,H
tch_L1_20240131-174940_6,context_class_L1_20240131-174940_6,Q8rW-2VZL,L1,l1pe,3,L
tch_L3_20240105-151148_28,class_L3_20240105-151148_28,df8r-4CK2,L3,l3pe,7,L
tch_L8_20240120-145701_70,class_L8_20240120-145701_70,nYr8-72ea,L8,l8pe,4,L
tch_L8_20240120-145701_9,class_L8_20240120-145701_9,mMFz-oy9r,L8,l8pe,4,L
tch_L8_20240201-182440_51,class_L8_20240201-182440_51,vNzN-4H7E,L8,l8pe,4,L
tch_L8_20240131-171252_50,context_class_L8_20240131-171252_50,VxZW-NZQs,L8,l8pe,4,L
tch_L1_20240131-174940_1,context_class_L1_20240131-174940_1,4ePo-TBZJ,L1,l1pe,3,L
tch_L7_20240119-103128_85,class_L7_20240119-103128_85,98RX-4gUo,L7,l7pe,3,L
