stdextid,firstname,classcode
std_1616149592652_43,1007_200821_2_std_1616149592652_43,C7te-vY2N
std_1616149591003_39,1007_200821_2_std_1616149591003_39,8tfW-KrNV
std_1616149594535_34,1007_200821_2_std_1616149594535_34,kQyo-Z4U3
std_1616149589744_36,1007_200821_2_std_1616149589744_36,yPnG-d429
std_1616149598067_42,1007_200821_2_std_1616149598067_42,Vd9C-aA2F
std_1616149596149_40,1007_200821_2_std_1616149596149_40,GtTR-Xgtf
std_1616149595932_45,1007_200821_2_std_1616149595932_45,m6vj-24mU
std_1616149597781_33,1007_200821_2_std_1616149597781_33,udx7-LiCx
std_1616149594409_38,1007_200821_2_std_1616149594409_38,apUF-yG8g
std_1616149595933_37,1007_200821_2_std_1616149595933_37,d7v4-WdJy
std_1616149598004_31,1007_200821_2_std_1616149598004_31,y7A7-K9Ko
std_1616149601906_44,1007_200821_2_std_1616149601906_44,Xg6E-9r83
std_1616149606452_39,1007_200821_2_std_1616149606452_39,8tfW-KrNV
std_1616149602713_32,1007_200821_2_std_1616149602713_32,83L6-HzQ6
std_1616149611718_42,1007_200821_2_std_1616149611718_42,Vd9C-aA2F
std_1616149603648_41,1007_200821_2_std_1616149603648_41,C8ej-BhD4
std_1616149611813_40,1007_200821_2_std_1616149611813_40,GtTR-Xgtf
std_1616149604956_35,1007_200821_2_std_1616149604956_35,U2E8-7KFh
std_1616149605975_43,1007_200821_2_std_1616149605975_43,C7te-vY2N
std_1616149607389_34,1007_200821_2_std_1616149607389_34,kQyo-Z4U3
std_1616149608788_36,1007_200821_2_std_1616149608788_36,y7A7-K9Ko
std_1616149615859_31,1007_200821_2_std_1616149615859_31,yPnG-d429
std_1616149611107_46,1007_200821_2_std_1616149611107_46,B7t6-ZHVd
std_1616149613995_37,1007_200821_2_std_1616149613995_37,d7v4-WdJy
std_1616149612997_45,1007_200821_2_std_1616149612997_45,m6vj-24mU
std_1616149613697_38,1007_200821_2_std_1616149613697_38,apUF-yG8g
std_1616149613627_33,1007_200821_2_std_1616149613627_33,udx7-LiCx
std_1616149623957_40,1007_200821_2_std_1616149623957_40,GtTR-Xgtf
std_1616149623487_42,1007_200821_2_std_1616149623487_42,Vd9C-aA2F
std_1616149619871_39,1007_200821_2_std_1616149619871_39,8tfW-KrNV
std_1616149617436_44,1007_200821_2_std_1616149617436_44,Xg6E-9r83
std_1616149628176_36,1007_200821_2_std_1616149628176_36,yPnG-d429
std_1616149627563_34,1007_200821_2_std_1616149627563_34,kQyo-Z4U3
std_1616149623072_32,1007_200821_2_std_1616149623072_32,83L6-HzQ6
std_1616149623825_41,1007_200821_2_std_1616149623825_41,C8ej-BhD4
std_1616149629293_37,1007_200821_2_std_1616149629293_37,d7v4-WdJy
std_1616149624178_35,1007_200821_2_std_1616149624178_35,U2E8-7KFh
std_1616149625668_43,1007_200821_2_std_1616149625668_43,C7te-vY2N
std_1616149633299_45,1007_200821_2_std_1616149633299_45,m6vj-24mU
std_1616149629269_46,1007_200821_2_std_1616149629269_46,B7t6-ZHVd
std_1616149636377_42,1007_200821_2_std_1616149636377_42,Vd9C-aA2F
std_1616149637076_39,1007_200821_2_std_1616149637076_39,8tfW-KrNV
std_1616149633541_47,1007_200821_2_std_1616149633541_47,uFmF-uno6
std_1616149635010_40,1007_200821_2_std_1616149635010_40,GtTR-Xgtf
std_1616149633361_38,1007_200821_2_std_1616149633361_38,apUF-yG8g
std_1616149634129_33,1007_200821_2_std_1616149634129_33,udx7-LiCx
std_1616149639536_48,1007_200821_2_std_1616149639536_48,6DJF-WqzF
std_1616149641294_34,1007_200821_2_std_1616149641294_34,kQyo-Z4U3
std_1616149641851_32,1007_200821_2_std_1616149641851_32,83L6-HzQ6
std_1616149637548_44,1007_200821_2_std_1616149637548_44,Xg6E-9r83
std_1616149642300_41,1007_200821_2_std_1616149642300_41,C8ej-BhD4
std_1616149643358_35,1007_200821_2_std_1616149643358_35,U2E8-7KFh
std_1616149639492_36,1007_200821_2_std_1616149639492_36,yPnG-d429
std_1616149643455_43,1007_200821_2_std_1616149643455_43,C7te-vY2N
std_1616149647800_46,1007_200821_2_std_1616149647800_46,B7t6-ZHVd
std_1616149642807_37,1007_200821_2_std_1616149642807_37,d7v4-WdJy
std_1616149646501_45,1007_200821_2_std_1616149646501_45,m6vj-24mU
std_1616149648040_42,1007_200821_2_std_1616149648040_42,Vd9C-aA2F
std_1616149648819_39,1007_200821_2_std_1616149648819_39,8tfW-KrNV
std_1616149649655_40,1007_200821_2_std_1616149649655_40,GtTR-Xgtf
std_1616149649806_38,1007_200821_2_std_1616149649806_38,apUF-yG8g
std_1616149648916_47,1007_200821_2_std_1616149648916_47,uFmF-uno6
std_1616149654738_32,1007_200821_2_std_1616149654738_32,83L6-HzQ6
std_1616149654141_34,1007_200821_2_std_1616149654141_34,kQyo-Z4U3
std_1616149652681_33,1007_200821_2_std_1616149652681_33,udx7-LiCx
std_1616149654004_48,1007_200821_2_std_1616149654004_48,6DJF-WqzF
std_1616149657915_49,1007_200821_2_std_1616149657915_49,c7x9-mN67
std_1616149660778_43,1007_200821_2_std_1616149660778_43,C7te-vY2N
std_1616149659079_36,1007_200821_2_std_1616149659079_36,yPnG-d429
std_1616149655842_44,1007_200821_2_std_1616149655842_44,Vd9C-aA2F
std_1616149662931_42,1007_200821_2_std_1616149662931_42,Xg6E-9r83
std_1616149656689_41,1007_200821_2_std_1616149656689_41,C8ej-BhD4
std_1616149658831_35,1007_200821_2_std_1616149658831_35,U2E8-7KFh
std_1616149661041_46,1007_200821_2_std_1616149661041_46,B7t6-ZHVd
std_1616149661858_37,1007_200821_2_std_1616149661858_37,d7v4-WdJy
std_1616149665399_40,1007_200821_2_std_1616149665399_40,GtTR-Xgtf
std_1616149662681_45,1007_200821_2_std_1616149662681_45,m6vj-24mU
std_1616149664008_39,1007_200821_2_std_1616149664008_39,8tfW-KrNV
std_1616149666021_47,1007_200821_2_std_1616149666021_47,uFmF-uno6
std_1616149665462_38,1007_200821_2_std_1616149665462_38,apUF-yG8g
std_1616149673887_36,1007_200821_2_std_1616149673887_36,yPnG-d429
std_1616149670875_49,1007_200821_2_std_1616149670875_49,c7x9-mN67
std_1616149675159_35,1007_200821_2_std_1616149675159_35,U2E8-7KFh
std_1616149673887_44,1007_200821_2_std_1616149673887_44,Xg6E-9r83
std_1616149670222_33,1007_200821_2_std_1616149670222_33,udx7-LiCx
std_1616149670730_48,1007_200821_2_std_1616149670730_48,6DJF-WqzF
std_1616149674477_41,1007_200821_2_std_1616149674477_41,C8ej-BhD4
std_1616149676438_46,1007_200821_2_std_1616149676438_46,B7t6-ZHVd
std_1616149671946_43,1007_200821_2_std_1616149671946_43,C7te-vY2N
std_1616149673887_42,1007_200821_2_std_1616149673887_42,Vd9C-aA2F
std_1616149681031_40,1007_200821_2_std_1616149681031_40,GtTR-Xgtf
std_1616149681529_45,1007_200821_2_std_1616149681529_45,m6vj-24mU
std_1616149679730_37,1007_200821_2_std_1616149679730_37,d7v4-WdJy
std_1616149682479_38,1007_200821_2_std_1616149682479_38,apUF-yG8g
std_1616149685167_50,1007_200821_2_std_1616149685167_50,cTgM-bR8q
std_1616149685407_36,1007_200821_2_std_1616149685407_36,yPnG-d429
std_1616149690875_41,1007_200821_2_std_1616149690875_41,C8ej-BhD4
std_1616149682312_39,1007_200821_2_std_1616149682312_39,8tfW-KrNV
std_1616149682377_47,1007_200821_2_std_1616149682377_47,uFmF-uno6
std_1616149685748_49,1007_200821_2_std_1616149685748_49,c7x9-mN67
std_1616149687160_44,1007_200821_2_std_1616149687160_44,Xg6E-9r83
std_1616149695908_45,1007_200821_2_std_1616149695908_45,m6vj-24mU
std_1616149692186_43,1007_200821_2_std_1616149692186_43,C7te-vY2N
std_1616149693241_42,1007_200821_2_std_1616149693241_42,Vd9C-aA2F
std_1616149691870_46,1007_200821_2_std_1616149691870_46,B7t6-ZHVd
std_1616149694330_40,1007_200821_2_std_1616149694330_40,GtTR-Xgtf
std_1616149688813_48,1007_200821_2_std_1616149688813_48,6DJF-WqzF
std_1616149702374_41,1007_200821_2_std_1616149702374_41,C8ej-BhD4
std_1616149702592_39,1007_200821_2_std_1616149702592_39,8tfW-KrNV
std_1616149697399_37,1007_200821_2_std_1616149697399_37,d7v4-WdJy
std_1616149698980_38,1007_200821_2_std_1616149698980_38,apUF-yG8g
std_1616149700747_36,1007_200821_2_std_1616149700747_36,yPnG-d429
std_1616149702676_47,1007_200821_2_std_1616149702676_47,uFmF-uno6
std_1616149700061_50,1007_200821_2_std_1616149700061_50,cTgM-bR8q
std_1616149705692_49,1007_200821_2_std_1616149705692_49,c7x9-mN67
std_1616149709087_48,1007_200821_2_std_1616149709087_48,6DJF-WqzF
std_1616149708680_43,1007_200821_2_std_1616149708680_43,C7te-vY2N
std_1616149707816_45,1007_200821_2_std_1616149707816_45,m6vj-24mU
std_1616149708954_46,1007_200821_2_std_1616149708954_46,B7t6-ZHVd
std_1616149706213_44,1007_200821_2_std_1616149706213_44,Xg6E-9r83
std_1616149709039_40,1007_200821_2_std_1616149709039_40,GtTR-Xgtf
std_1616149708821_42,1007_200821_2_std_1616149708821_42,Vd9C-aA2F
std_1616149716585_39,1007_200821_2_std_1616149716585_39,8tfW-KrNV
std_1616149717298_37,1007_200821_2_std_1616149717298_37,d7v4-WdJy
std_1616149720584_50,1007_200821_2_std_1616149720584_50,cTgM-bR8q
std_1616149714755_41,1007_200821_2_std_1616149714755_41,C8ej-BhD4
std_1616149719630_47,1007_200821_2_std_1616149719630_47,uFmF-uno6
std_1616149717617_38,1007_200821_2_std_1616149717617_38,apUF-yG8g
std_1616149722251_48,1007_200821_2_std_1616149722251_48,6DJF-WqzF
std_1616149721978_49,1007_200821_2_std_1616149721978_49,c7x9-mN67
std_1616149723702_45,1007_200821_2_std_1616149723702_45,m6vj-24mU
std_1616149724131_46,1007_200821_2_std_1616149724131_46,B7t6-ZHVd
std_1616149727656_39,1007_200821_2_std_1616149727656_39,8tfW-KrNV
std_1616149724834_44,1007_200821_2_std_1616149724834_44,Xg6E-9r83
std_1616149722694_43,1007_200821_2_std_1616149722694_43,C7te-vY2N
std_1616149731742_41,1007_200821_2_std_1616149731742_41,C8ej-BhD4
std_1616149726096_40,1007_200821_2_std_1616149726096_40,GtTR-Xgtf
std_1616149732917_38,1007_200821_2_std_1616149732917_38,apUF-yG8g
std_1616149730713_37,1007_200821_2_std_1616149730713_37,d7v4-WdJy
std_1616149727159_42,1007_200821_2_std_1616149727159_42,Vd9C-aA2F
std_1616149731545_50,1007_200821_2_std_1616149731545_50,cTgM-bR8q
std_1616149737771_49,1007_200821_2_std_1616149737771_49,c7x9-mN67
std_1616149732491_47,1007_200821_2_std_1616149732491_47,uFmF-uno6
std_1616149740542_39,1007_200821_2_std_1616149740542_39,8tfW-KrNV
std_1616149740810_44,1007_200821_2_std_1616149740810_44,Xg6E-9r83
std_1616149735311_48,1007_200821_2_std_1616149735311_48,6DJF-WqzF
std_1616149737950_45,1007_200821_2_std_1616149737950_45,m6vj-24mU
std_1616149738774_46,1007_200821_2_std_1616149738774_46,B7t6-ZHVd
std_1616149745474_40,1007_200821_2_std_1616149745474_40,GtTR-Xgtf
std_1616149746791_38,1007_200821_2_std_1616149746791_38,apUF-yG8g
std_1616149744614_41,1007_200821_2_std_1616149744614_41,C8ej-BhD4
std_1616149747518_42,1007_200821_2_std_1616149747518_42,Vd9C-aA2F
std_1616149742874_43,1007_200821_2_std_1616149742874_43,C7te-vY2N
std_1616149749385_49,1007_200821_2_std_1616149749385_49,c7x9-mN67
std_1616149749357_50,1007_200821_2_std_1616149749357_50,cTgM-bR8q
std_1616149749743_47,1007_200821_2_std_1616149749743_47,uFmF-uno6
std_1616149751933_39,1007_200821_2_std_1616149751933_39,8tfW-KrNV
std_1616149754142_48,1007_200821_2_std_1616149754142_48,6DJF-WqzF
std_1616149747269_37,1007_200821_2_std_1616149747269_37,d7v4-WdJy
std_1616149756993_46,1007_200821_2_std_1616149756993_46,B7t6-ZHVd
std_1616149758238_40,1007_200821_2_std_1616149758238_40,GtTR-Xgtf
std_1616149756215_45,1007_200821_2_std_1616149756215_45,m6vj-24mU
std_1616149752501_44,1007_200821_2_std_1616149752501_44,Xg6E-9r83
std_1616149762705_49,1007_200821_2_std_1616149762705_49,c7x9-mN67
std_1616149761532_43,1007_200821_2_std_1616149761532_43,C7te-vY2N
std_1616149764741_47,1007_200821_2_std_1616149764741_47,uFmF-uno6
std_1616149761064_41,1007_200821_2_std_1616149761064_41,C8ej-BhD4
std_1616149761424_42,1007_200821_2_std_1616149761424_42,Vd9C-aA2F
std_1616149764985_39,1007_200821_2_std_1616149764985_39,8tfW-KrNV
std_1616149763905_50,1007_200821_2_std_1616149763905_50,cTgM-bR8q
std_1616149766047_48,1007_200821_2_std_1616149766047_48,6DJF-WqzF
std_1616149771032_45,1007_200821_2_std_1616149771032_45,m6vj-24mU
std_1616149770543_40,1007_200821_2_std_1616149770543_40,GtTR-Xgtf
std_1616149770185_46,1007_200821_2_std_1616149770185_46,B7t6-ZHVd
std_1616149772246_44,1007_200821_2_std_1616149772246_44,Xg6E-9r83
std_1616149774259_43,1007_200821_2_std_1616149774259_43,C7te-vY2N
std_1616149782069_50,1007_200821_2_std_1616149782069_50,cTgM-bR8q
std_1616149777537_41,1007_200821_2_std_1616149777537_41,C8ej-BhD4
std_1616149777018_47,1007_200821_2_std_1616149777018_47,uFmF-uno6
std_1616149774100_49,1007_200821_2_std_1616149774100_49,c7x9-mN67
std_1616149779430_42,1007_200821_2_std_1616149779430_42,Vd9C-aA2F
std_1616149784946_45,1007_200821_2_std_1616149784946_45,m6vj-24mU
std_1616149784431_48,1007_200821_2_std_1616149784431_48,6DJF-WqzF
std_1616149792336_43,1007_200821_2_std_1616149792336_43,C7te-vY2N
std_1616149794065_49,1007_200821_2_std_1616149794065_49,c7x9-mN67
std_1616149786486_46,1007_200821_2_std_1616149786486_46,B7t6-ZHVd
std_1616149793780_47,1007_200821_2_std_1616149793780_47,uFmF-uno6
std_1616149790606_44,1007_200821_2_std_1616149790606_44,Xg6E-9r83
std_1616149798066_42,1007_200821_2_std_1616149798066_42,Vd9C-aA2F
std_1616149792879_50,1007_200821_2_std_1616149792879_50,cTgM-bR8q
std_1616149793388_41,1007_200821_2_std_1616149793388_41,C8ej-BhD4
std_1616149804287_48,1007_200821_2_std_1616149804287_48,6DJF-WqzF
std_1616149800522_45,1007_200821_2_std_1616149800522_45,m6vj-24mU
std_1616149807105_46,1007_200821_2_std_1616149807105_46,B7t6-ZHVd
std_1616149806609_43,1007_200821_2_std_1616149806609_43,C7te-vY2N
std_1616149806927_49,1007_200821_2_std_1616149806927_49,c7x9-mN67
std_1616149812626_50,1007_200821_2_std_1616149812626_50,cTgM-bR8q
std_1616149808805_47,1007_200821_2_std_1616149808805_47,uFmF-uno6
std_1616149818063_46,1007_200821_2_std_1616149818063_46,B7t6-ZHVd
std_1616149813006_41,1007_200821_2_std_1616149813006_41,C8ej-BhD4
std_1616149810672_44,1007_200821_2_std_1616149810672_44,Xg6E-9r83
std_1616149815293_48,1007_200821_2_std_1616149815293_48,6DJF-WqzF
std_1616149812104_42,1007_200821_2_std_1616149812104_42,Vd9C-aA2F
std_1616149817892_45,1007_200821_2_std_1616149817892_45,m6vj-24mU
std_1616149821940_43,1007_200821_2_std_1616149821940_43,C7te-vY2N
std_1616149825623_49,1007_200821_2_std_1616149825623_49,c7x9-mN67
std_1616149829658_41,1007_200821_2_std_1616149829658_41,C8ej-BhD4
std_1616149832987_45,1007_200821_2_std_1616149832987_45,m6vj-24mU
std_1616149826803_50,1007_200821_2_std_1616149826803_50,cTgM-bR8q
std_1616149828674_47,1007_200821_2_std_1616149828674_47,uFmF-uno6
std_1616149829643_46,1007_200821_2_std_1616149829643_46,B7t6-ZHVd
std_1616149832053_48,1007_200821_2_std_1616149832053_48,6DJF-WqzF
std_1616149829679_44,1007_200821_2_std_1616149829679_44,Xg6E-9r83
std_1616149838027_49,1007_200821_2_std_1616149838027_49,c7x9-mN67
std_1616149833664_43,1007_200821_2_std_1616149833664_43,C7te-vY2N
std_1616149832626_42,1007_200821_2_std_1616149832626_42,Vd9C-aA2F
std_1616149846631_47,1007_200821_2_std_1616149846631_47,uFmF-uno6
std_1616149845120_45,1007_200821_2_std_1616149845120_45,m6vj-24mU
std_1616149847340_46,1007_200821_2_std_1616149847340_46,B7t6-ZHVd
std_1616149848345_48,1007_200821_2_std_1616149848345_48,6DJF-WqzF
std_1616149846157_50,1007_200821_2_std_1616149846157_50,cTgM-bR8q
std_1616149851158_43,1007_200821_2_std_1616149851158_43,C7te-vY2N
std_1616149850280_49,1007_200821_2_std_1616149850280_49,c7x9-mN67
std_1616149848976_44,1007_200821_2_std_1616149848976_44,Xg6E-9r83
std_1616149862759_48,1007_200821_2_std_1616149862759_48,6DJF-WqzF
std_1616149859268_47,1007_200821_2_std_1616149859268_47,uFmF-uno6
std_1616149861425_45,1007_200821_2_std_1616149861425_45,m6vj-24mU
std_1616149861737_46,1007_200821_2_std_1616149861737_46,B7t6-ZHVd
std_1616149866150_50,1007_200821_2_std_1616149866150_50,cTgM-bR8q
std_1616149869337_44,1007_200821_2_std_1616149869337_44,Xg6E-9r83
std_1616149869068_49,1007_200821_2_std_1616149869068_49,c7x9-mN67
std_1616149875093_47,1007_200821_2_std_1616149875093_47,uFmF-uno6
std_1616149874798_48,1007_200821_2_std_1616149874798_48,6DJF-WqzF
std_1616149880160_45,1007_200821_2_std_1616149880160_45,m6vj-24mU
std_1616149882181_46,1007_200821_2_std_1616149882181_46,B7t6-ZHVd
std_1616149889403_49,1007_200821_2_std_1616149889403_49,c7x9-mN67
std_1616149885984_50,1007_200821_2_std_1616149885984_50,cTgM-bR8q
std_1616149890924_48,1007_200821_2_std_1616149890924_48,6DJF-WqzF
std_1616149887930_44,1007_200821_2_std_1616149887930_44,Xg6E-9r83
std_1616149890281_47,1007_200821_2_std_1616149890281_47,uFmF-uno6
std_1616149892851_45,1007_200821_2_std_1616149892851_45,m6vj-24mU
std_1616149898274_46,1007_200821_2_std_1616149898274_46,B7t6-ZHVd
std_1616149901378_49,1007_200821_2_std_1616149901378_49,c7x9-mN67
std_1616149902358_44,1007_200821_2_std_1616149902358_44,Xg6E-9r83
std_1616149901516_50,1007_200821_2_std_1616149901516_50,cTgM-bR8q
std_1616149902306_48,1007_200821_2_std_1616149902306_48,6DJF-WqzF
std_1616149909285_47,1007_200821_2_std_1616149909285_47,uFmF-uno6
std_1616149913308_49,1007_200821_2_std_1616149913308_49,c7x9-mN67
std_1616149911820_46,1007_200821_2_std_1616149911820_46,B7t6-ZHVd
std_1616149919020_48,1007_200821_2_std_1616149919020_48,6DJF-WqzF
std_1616149918937_50,1007_200821_2_std_1616149918937_50,cTgM-bR8q
std_1616149923100_47,1007_200821_2_std_1616149923100_47,uFmF-uno6
std_1616149927263_49,1007_200821_2_std_1616149927263_49,c7x9-mN67
std_1616149933679_50,1007_200821_2_std_1616149933679_50,cTgM-bR8q
std_1616149931282_48,1007_200821_2_std_1616149931282_48,6DJF-WqzF
std_1616149940626_47,1007_200821_2_std_1616149940626_47,uFmF-uno6
std_1616149942977_49,1007_200821_2_std_1616149942977_49,c7x9-mN67
std_1616149946497_50,1007_200821_2_std_1616149946497_50,cTgM-bR8q
std_1616149966535_50,1007_200821_2_std_1616149966535_50,cTgM-bR8q
std_1616149983226_50,1007_200821_2_std_1616149983226_50,cTgM-bR8q
std_1616149996076_50,1007_200821_2_std_1616149996076_50,cTgM-bR8q
